station_code,station_name,city,state,zone,latitude,longitude,active
SNKL,SANKARANKOVIL,SANKARANKOVIL,Unknown,Unknown,9.176539,77.525924,true
SNKR,Sanka,Garh Dhrubeswar,West Bengal,SER,23.52693,86.616164,true
SNL,SANAHWAL,SANAHWAL,Unknown,Unknown,30.837436,75.9795,true
SNLR,SANTALPUR,Santalpur,Gujarat,WR,23.759161000000002,71.181545,true
SNN,SONEGAON,SONEGAON,Unknown,Unknown,20.629319,78.709706,true
SNO,SOMANUR,SOMANUR,Unknown,Unknown,11.087247,77.18638,true
SNP,SONIPAT,SONIPAT,Unknown,Unknown,28.989423000000002,77.017343,true
SNPR,SINGARPUR,Rupbas,Rajasthan,NCR,27.116202,77.72370699999999,true
SNQ,SANKARPUR,SANKARPUR,Unknown,Unknown,24.427623,86.637552,true
SNR,SHYAMNAGAR,SHYAMNAGAR,Unknown,Unknown,22.828781,88.380423,true
SNRD,MUMBAI SANDHURST ROAD,Mumbai,Maharashtra,CR,18.962311,72.839733,true
SNRR,SANSARPUR,National Highway 7,Madhya Pradesh,WCR,23.6789703455,80.3473074512,true
SNS,SASNI,SASNI,Unknown,Unknown,27.704263607599998,78.1224601752,true
SNSL,SONSHELU,SONSHELU,Unknown,Unknown,21.274379,74.66225600000001,true
SNT,SAINTHIA,SAINTHIA,Unknown,Unknown,23.949741,87.68120499999999,true
SNTD,Santaldih,Purulia,West Bengal,SER,23.596660999999997,86.48312299999999,true
SNVR,SANVATSAR,SANVATSAR,Unknown,Unknown,19.8832775017,74.56058409549999,true
SNX,SANEH ROAD,Saneh Road,Uttar Pradesh,NR,29.689652272500002,78.4494025903,true
SOA,SANOSRA,State Highway 25,Gujarat,WR,21.748110299,71.7894786566,true
SOAE,SOMRA BAZAR,State Highway 6,West Bengal,ER,23.13916,88.433032,true
SOD,SOJAT ROAD,Pali,Rajasthan,NWR,25.862203,73.75567199999999,true
SOGR,SOGRA,SOGRA,Unknown,Unknown,22.153756,84.459478,true
SOH,SIROHI ROAD,Pindwara,Rajasthan,NWR,24.791042,73.039834,true
SOI,Sonaripur,MDR 6C,Uttar Pradesh,NER,28.4746409298,80.7274215704,true
SOJ,SAROJINI NAGAR,Sarojini Nagar,Delhi NCT,NR,28.581210000000002,77.196287,true
SOJN,SIHOR GUJARAT,Shihor,Gujarat,WR,21.724798000000003,71.957197,true
SOM,SOMNA,SOMNA,Unknown,Unknown,28.052674,77.948193,true
SOP,SHIUPUR,SHIUPUR,Unknown,Unknown,25.355419,82.946972,true
SOR,SONAGIR,SONAGIR,Unknown,Unknown,25.730668,78.409099,true
SORI,SORAI,SORAI,Unknown,Unknown,23.551699,77.848219,true
SORO,SORO,SORO,Unknown,Unknown,21.291083999999998,86.69253900000001,true
SOS,SOMESAR,Somesar,Rajasthan,NWR,25.520225999999997,73.450999,true
SP,SAIDAPET,SAIDAPET,Unknown,Unknown,13.02415,80.224183,true
SPAM,SENJI PANAMBAKKAM,SENJI PANAMBAKKAM,Unknown,Unknown,13.093945,79.83276000000001,true
SPE,SULLURUPETA,SULLURUPETA,Unknown,Unknown,13.696463,80.018161,true
SPF,STUARTPURAM,STUARTPURAM,Unknown,Unknown,15.868003,80.406913,true
SPGL,Sarai Gopal,Allahabad Bypass,Uttar Pradesh,NR,25.548656,81.822277,true
SPGN,SRIPURIA GAON,SRIPURIA GAON,Unknown,Unknown,27.4659128037,95.3515292572,true
SPGR,SAMPIGE ROAD,Tumkur,Karnataka,SWR,13.270203,76.760983,true
SPHL,SHAMPURHALLI,SHAMPURHALLI,Unknown,Unknown,16.87535,77.03309,true
SPJ,SAMASTIPUR JN,SAMASTIPUR JN,Unknown,Unknown,25.858304,85.78736,true
SPK,SAPEKHATI,Moran to Naharkatiya Rd,Assam,NFR,27.110416,95.160918,true
SPL,SUNDARAPERUMAL KOVIL,Thanjavur,Tamil Nadu,SR,10.941722,79.30063,true
SPLE,SUJNIPARA,National Highway 34,West Bengal,ER,24.571584,88.03679699999999,true
SPN,SHAHJEHANPUR,SHAHJEHANPUR,Unknown,Unknown,27.894224,79.904605,true
SPO,SURPURA,SURPURA,Unknown,Unknown,27.706677000000003,73.442249,true
SPP,SHAHPUR PATOREE,Samastipur,Bihar,ECR,25.639425999999997,85.5813,true
